term,info
AER,"This stands for annual equivalent rate. It is quoted by financial institutions, such as banks, to show how much the interest rate would be if the interest was worked out just once a year. It is intended to make it easier for people to judge how much interest they pay (or receive) when it is being worked out more than once a year. It is also intended to make it easier to compare different financial products."
Allocation Rate,"When money is paid into a fund (such as a pension fund) the allocation rate is the percentage of the money left which can be invested after the charges have been taken off. For example, if the charges were 2% the allocation rate would be 98%."
Annual Percentage Rate (APR),"The term ""annual percentage rate (APR)"" refers to the annual rate of interest charged to borrowers and paid to investors. APR is expressed as a percentage that represents the actual yearly costs of funds over the term of a loan or income earned on an investment. This includes any fees or additional costs associated with the transaction, but it does not take compounding into account. The APR provides consumers with a bottom-line number they can easily compare with rates from other lenders."
Annuity,"An annuity is a financial product that pays out a fixed stream of payments to an individual, and these financial products are primarily used as an income stream for retirees. Annuities are contracts issued and distributed (or sold) by financial institutions, which invest funds from individuals. They help individuals address the risk of outliving their savings. Upon annuitization, the holding institution will issue a stream of payments at a later point in time."
Applicable Federal Rate (AFR),The applicable federal rate (AFR) is the minimum interest rate that the Internal Revenue Service allows for private loans. Each month the IRS publishes a set of interest rates that the agency considers the minimum market rate for loans. Any interest rate that is less the AFR would have tax implications. The IRS publishes these rates in accordance with Section 1274(d) of the Internal Revenue code.
Asset,"An asset is a resource with economic value that an individual, corporation, or country owns or controls with the expectation that it will provide a future benefit. Assets are reported on a company's balance sheet and are bought or created to increase a firm's value or benefit the firm's operations. An asset can be thought of as something that, in the future, can generate cash flow, reduce expenses, or improve sales, regardless of whether it's manufacturing equipment or a patent."
Asset  Management,"Asset management is the direction of all or part of a client's portfolio by a financial services institution, usually an investment bank, or an individual. Institutions offer investment services along with a wide range of traditional and alternative product offerings that might not be available to the average investor."
Asset Turnover Ratio (ATR),"The asset turnover ratio measures the value of a company's sales or revenues relative to the value of its assets. The asset turnover ratio can be used as an indicator of the efficiency with which a company is using its assets to generate revenue.  The higher the asset turnover ratio, the more efficient a company is at generating revenue from its assets. Conversely, if a company has a low asset turnover ratio, it indicates it is not efficiently using its assets to generate sales."
Assets under Management (AUM),"Assets under management (AUM) is the total market value of the investments that a person or entity manages on behalf of clients. Assets under management definitions and formulas vary by company. In the calculation of AUM, some financial institutions include bank deposits, mutual funds, and cash in their calculations. Others limit it to funds under discretionary management, where the investor assigns authority to the company to trade on his behalf. Overall, AUM is only one aspect used in evaluating a company or investment. It is also usually considered in conjunction with management performance and management experience. However, investors often consider higher investment inflows and higher AUM comparisons as a positive indicator of quality and management experience."
Acid Test Ratio,It is the ratio indicated by dividing a company's current assets by current liabilities. It reflects the financial strength of a company and hence called Acid test ratio.
Beta Factor,Beta of a stock or asset is a measurement that describes the relation of its returns with that of the financial market as a whole. It is used as a systematic risk measure of a security or asset.
Cross Rate,"In calculating a spot or future price between two currencies, reference to their respective quotations in a third currency determines the cross rate."
Cross Hedging,"Hedging a cash commodity using a different but related futures contract when there is no futures contract for the cash commodity being hedged and the cash and futures markets follow similar price trends (e.g., using soybean meal futures to hedge fish meal)."
Cash Reserve Ratio (CRR),Cash reserve ratio is the cash parked by the banks in their specified current account maintained with RBI.
Currency Future,"A contract for the future delivery of a commodity, currency or security on a specific date. In contrast to forward contracts, futures contracts are for standard quantities and for standard periods of time and are primarily traded on an Exchange. Forward transactions enable importers and exporters who will have to make, or will receive, payment in a foreign currency at a future time, to protect themselves against the risk of fluctuations in the spot rate."
Current Ratio,The current assets of a company divided by its current liabilities. Balance-sheet strength indication.
Curernt Closing price,The final price at which a security is traded on the last working-day trading session.
Customer Margin,"Within the futures industry, financial guarantees required of both buyers and sellers of futures contracts and sellers of option contracts to ensure fulfilling of contract obligations. FCMs are responsible for overseeing customer margin accounts. Margins are determined on the basis of market risk and contract value. Also referred to as performance-bond margin. See Clearing Margin."
Cyclical Stock,A stock of a company in an industry sector that is particularly sensitive to swings in economic conditions.
Daily Price Limit,The maximum price advance or decline permitted for a futures contract in one trading session compared to the previous day's settlement price.
Daily Range,The difference between the high and low price during one trading day.
Daily Trading Limit,"The maximum price range allowed for a contract during a trading session, set by the exchange, and based on the difference from the previous days close."
Day High,The highest price that a security has traded at during the day.
Day Low,The lowest price that a security has traded at during the day.
Day order,"An order that is valid only for the day it is entered. If the order is still outstanding when the market closes, it will be purged overnight."
Direct Trading,To execute selling or purchasing transactions of securities without the assistance of investment firms and brokerage firms.
Earnings per share,Earnings per common share. It is calculated as follows: net profit (net income) divided by the number of ordinary shares outstanding.
Ex- dividend,"If a share is sold ex-dividend, the seller will receive the dividend declared just before it was sold."
Execute,This means to carry out a contract.
Fair Share price,The price that reflects all the company's present and future economic and financial fundamentals. It is determined through assumptions and expectations about the future performance of the company in question.
Final Dividend,"Once a company has drawn up its annual accounts the directors can work out and declare, or recommend to the shareholders, the amount of the final dividend."
Gross-Profit margin,"The proportion of money left over from revenues after accounting for the cost of goods sold (COGS). It is expressed as a percentage. For example, suppose company ABC earned SR 100,000 in sales, and incurred SR 75,000 in COGS-related expense. ABC's gross profit margin would be 25%, i.e., (100,00 - 75,000) divided by 100,000."
Non-Cash Stocks,"Stocks whose value is collected in form of tangibles other than cash, like machinery, buildings and lands. Usually, the nature of these contributions, and how to evaluate and determine stocks in exchange for them, are determined according to the law of the joint-stock companies."
Over-the-counter (OTC) market,"Trading transactions that are conducted outside the stock exchange, through multiple communication networks. These networks link brokers and traders on one hand, and investors on the other. The OTC market does not have a mechanism to stop the sharp increases and decreases in the prices of securities, nor the ability to re-balance the market. The most famous OTC market in the 5 world is NASDAQ."
Previous closing price,The final price at which a security is traded on the last trading day of the previous period.
Record Date,A date in which a shareholder must be the lawful owner of a given company's shares to be entitled to receive a dividend of that company.
Return on Equity,"The amount of return on owners' investment, represented by shareholder equity. It is calculated by dividing the net profit (net income) by total equity"
Security,"Securities, especially stocks and bonds that are issued by business institutions, are the main product traded in capital markets. A security represents a deed that gives its holder the right to get a predetermined ratio of the return (in the case of bonds and preferred shares), or share in the total revenue earned by the company in the case of common stock."
